t_s,rx_pkts,rx_bps,rx_udp_pkts,rx_udp_bps,tx_pkts,tx_bps,tx_udp_pkts,tx_udp_bps,rx_tcp_pkts,rx_tcp_bps,rx_icmp_pkts,rx_icmp_bps,tx_qdrop_pkts,tx_qdrop_bps
1.000,2,1824.000,0,0.000,751,2586696.000,114,125736.000,0,0.000,0,0.000,0,0.000
2.000,1,912.000,0,0.000,824,3541144.000,208,99560.000,0,0.000,0,0.000,0,0.000
3.000,0,0.000,0,0.000,822,2942928.000,357,121072.000,0,0.000,0,0.000,0,0.000
4.000,0,0.000,0,0.000,829,3556248.000,447,118064.000,0,0.000,0,0.000,0,0.000
5.000,1,888.000,0,0.000,824,3138728.000,555,103224.000,0,0.000,0,0.000,0,0.000
6.000,0,0.000,0,0.000,823,3074288.000,661,99456.000,0,0.000,0,0.000,0,0.000
7.000,0,0.000,0,0.000,822,3645136.000,725,80832.000,0,0.000,0,0.000,0,0.000
8.000,0,0.000,0,0.000,822,3109168.000,866,140352.000,0,0.000,0,0.000,0,0.000
9.000,0,0.000,0,0.000,822,3021256.000,1007,168416.000,0,0.000,0,0.000,0,0.000
10.000,0,0.000,0,0.000,831,2935384.000,1130,126312.000,0,0.000,0,0.000,0,0.000
11.000,1,888.000,0,0.000,822,3232688.000,1233,103056.000,0,0.000,0,0.000,0,0.000
12.000,0,0.000,0,0.000,824,3627952.000,1333,110856.000,0,0.000,0,0.000,0,0.000
13.000,0,0.000,0,0.000,822,2695856.000,1497,151240.000,0,0.000,0,0.000,0,0.000
14.000,0,0.000,0,0.000,822,3172592.000,1595,139056.000,0,0.000,0,0.000,0,0.000
15.000,0,0.000,0,0.000,672,2312744.000,1736,184464.000,0,0.000,0,0.000,0,0.000
16.000,0,0.000,0,0.000,643,1950792.000,1868,128752.000,0,0.000,0,0.000,0,0.000
17.000,0,0.000,0,0.000,644,2697984.000,1938,70600.000,0,0.000,0,0.000,0,0.000
18.000,0,0.000,0,0.000,643,2170344.000,2030,106896.000,0,0.000,0,0.000,0,0.000
19.000,0,0.000,0,0.000,643,2875680.000,2131,83104.000,0,0.000,0,0.000,0,0.000
20.000,0,0.000,0,0.000,645,2603568.000,2181,57856.000,0,0.000,0,0.000,0,0.000
21.000,0,0.000,0,0.000,645,2249536.000,2261,108128.000,0,0.000,0,0.000,0,0.000
22.000,0,0.000,0,0.000,645,3053736.000,2350,80680.000,0,0.000,0,0.000,0,0.000
23.000,0,0.000,0,0.000,643,2316288.000,2415,71552.000,0,0.000,0,0.000,0,0.000
24.000,0,0.000,0,0.000,643,1956192.000,2529,108080.000,0,0.000,0,0.000,0,0.000
25.000,0,0.000,0,0.000,643,3470336.000,2579,46880.000,0,0.000,0,0.000,0,0.000
26.000,0,0.000,0,0.000,645,1923696.000,2649,81976.000,0,0.000,0,0.000,0,0.000
27.000,0,0.000,0,0.000,644,2507040.000,2749,89984.000,0,0.000,0,0.000,0,0.000
28.000,0,0.000,0,0.000,643,4014416.000,2784,34896.000,0,0.000,0,0.000,0,0.000
29.000,0,0.000,0,0.000,16843,74053080.000,19180,72772448.000,0,0.000,0,0.000,0,0.000
30.000,0,0.000,0,0.000,24779,110414096.000,43461,108100800.000,0,0.000,0,0.000,0,0.000
31.000,0,0.000,0,0.000,24916,110874744.000,67869,108768816.000,0,0.000,0,0.000,0,0.000
32.000,0,0.000,0,0.000,24890,110409792.000,92294,108813304.000,0,0.000,0,0.000,0,0.000
33.000,0,0.000,0,0.000,24842,110867696.000,116655,108457464.000,0,0.000,0,0.000,0,0.000
34.000,0,0.000,0,0.000,24845,110652616.000,140979,108385072.000,0,0.000,0,0.000,0,0.000
35.000,0,0.000,0,0.000,25013,109933080.000,165526,109297024.000,0,0.000,0,0.000,0,0.000
36.000,0,0.000,0,0.000,24749,110719744.000,189821,108159824.000,0,0.000,0,0.000,0,0.000
37.000,0,0.000,0,0.000,24896,110653904.000,214256,108835664.000,0,0.000,0,0.000,0,0.000
38.000,0,0.000,0,0.000,24855,110730480.000,238613,108549456.000,0,0.000,0,0.000,0,0.000
39.000,0,0.000,0,0.000,24730,111037336.000,262821,107969096.000,0,0.000,0,0.000,0,0.000
40.000,0,0.000,0,0.000,25016,110589424.000,287380,109237272.000,0,0.000,0,0.000,0,0.000
41.000,0,0.000,0,0.000,13357,59193680.000,300369,57647768.000,0,0.000,0,0.000,0,0.000
42.000,0,0.000,0,0.000,338,1493656.000,300403,42944.000,0,0.000,0,0.000,0,0.000
43.000,0,0.000,0,0.000,327,895880.000,300458,55464.000,0,0.000,0,0.000,0,0.000
44.000,0,0.000,0,0.000,334,1497400.000,300484,37688.000,0,0.000,0,0.000,0,0.000
45.000,0,0.000,0,0.000,319,1541568.000,300516,34792.000,0,0.000,0,0.000,0,0.000
46.000,0,0.000,0,0.000,341,1069144.000,300579,64232.000,0,0.000,0,0.000,0,0.000
47.000,0,0.000,0,0.000,331,1399336.000,300610,29208.000,0,0.000,0,0.000,0,0.000
48.000,0,0.000,0,0.000,331,1633720.000,300626,17936.000,0,0.000,0,0.000,0,0.000
49.000,0,0.000,0,0.000,333,1016600.000,300704,75776.000,0,0.000,0,0.000,0,0.000
50.000,0,0.000,0,0.000,321,1376136.000,300730,31640.000,0,0.000,0,0.000,0,0.000
51.000,0,0.000,0,0.000,337,1123864.000,300791,58304.000,0,0.000,0,0.000,0,0.000
52.000,0,0.000,0,0.000,337,1230288.000,300846,92224.000,0,0.000,0,0.000,0,0.000
53.000,0,0.000,0,0.000,328,1802632.000,300883,45016.000,0,0.000,0,0.000,0,0.000
54.000,0,0.000,0,0.000,327,1074920.000,300914,36120.000,0,0.000,0,0.000,0,0.000
55.000,0,0.000,0,0.000,324,1027280.000,300980,71792.000,0,0.000,0,0.000,0,0.000
56.000,0,0.000,0,0.000,336,1777128.000,300999,25888.000,0,0.000,0,0.000,0,0.000
57.000,0,0.000,0,0.000,327,891392.000,301057,63544.000,0,0.000,0,0.000,0,0.000
58.000,0,0.000,0,0.000,344,871336.000,301126,77304.000,0,0.000,0,0.000,0,0.000
59.000,0,0.000,0,0.000,335,2031912.000,301138,12824.000,0,0.000,0,0.000,0,0.000
60.000,0,0.000,0,0.000,340,962688.000,301228,135112.000,0,0.000,0,0.000,0,0.000
61.000,0,0.000,0,0.000,321,1180016.000,301277,78080.000,0,0.000,0,0.000,0,0.000
62.000,0,0.000,0,0.000,324,899240.000,301314,54632.000,0,0.000,0,0.000,0,0.000
63.000,0,0.000,0,0.000,324,1021024.000,301369,51704.000,0,0.000,0,0.000,0,0.000
64.000,0,0.000,0,0.000,325,1656064.000,301394,29032.000,0,0.000,0,0.000,0,0.000
65.000,0,0.000,0,0.000,328,781944.000,301452,51064.000,0,0.000,0,0.000,0,0.000
66.000,0,0.000,0,0.000,324,1204264.000,301505,51584.000,0,0.000,0,0.000,0,0.000
